Character,Line,Episode
Ice King,  Strangling the groom's nose at a wedding? [kicks Finn back up the pyramid] What's wrong with you?! You're the one that there's something wrong with!,When Wedding Bells Thaw
Action," [Finn lands at the top of the pyramid by the penguins that were holding the rope. They let go of the rope, dropping the Old Lady Princess. Jake catches her.]",When Wedding Bells Thaw
Jake,  Gotcha!,When Wedding Bells Thaw
Old Lady in eye,"  Thanks, man",When Wedding Bells Thaw
Jake,"  Hehe, no problem.",When Wedding Bells Thaw
Finn,  [getting up] Ehh.,When Wedding Bells Thaw
Ice King,  [walking up to him] I think you dropped something. [tosses a penguin at him] Catch! [freezes the penguin in midair],When Wedding Bells Thaw
Finn,  Huh? [catches the penguin and sinks into the snow a couple feet],When Wedding Bells Thaw
Action, [Ice King fires a bolt of ice at Jake.],When Wedding Bells Thaw
Jake,  Whoa! [bolt freezes him],When Wedding Bells Thaw
Finn,  Jake!,When Wedding Bells Thaw
Action, [Jake starts falling from the weight of the ice but takes the ring off of Old Lady Princess as he falls.],When Wedding Bells Thaw
Old Lady Princess,"  [eyes now normal-sized] Huh, what?",When Wedding Bells Thaw
Finn,"  JAKE! [tries to lift the penguin] Grrrr. [Jake slides down next to him] Oh, hey.",When Wedding Bells Thaw
Jake,  Hey.,When Wedding Bells Thaw
Finn,  You got the ring off her finger?,When Wedding Bells Thaw
Jake,"  Huh? Oh. Oh yeah. Now she's not hypnotized, but we're still frozen.",When Wedding Bells Thaw
Finn,  I got a plan.,When Wedding Bells Thaw
Jake,"  Oh, good.",When Wedding Bells Thaw
Ice King,"  Now, let's try that again. [to penguins] Lower her!",When Wedding Bells Thaw
Old Lady Princess,"  [struggling with rope as she gets lowered] You lousy, butt-faced pig! I hate you!",When Wedding Bells Thaw
Ice King,"  Here she comes. Yes, touch my beard, deary. Yes, that's right. Almost there...",When Wedding Bells Thaw
Finn,  Now!,When Wedding Bells Thaw
Jake,  [strains],When Wedding Bells Thaw
Action, [Jake's finger touches Ice King's beard.],When Wedding Bells Thaw
Ice King,"  Oh! I'm married, right, snowman?",When Wedding Bells Thaw
Snowman Priest,"  Yes, it's official.",When Wedding Bells Thaw
Finn,"  It's official! You done married a dog, dude!",When Wedding Bells Thaw
Ice King,  What? What's that supposed to— [sees that the finger that touched his beard is actually Jake's] Oh no.,When Wedding Bells Thaw
Finn & Jake,  [laugh],When Wedding Bells Thaw
Jake,"  Wait, what the—? What am I laughin' about?",When Wedding Bells Thaw
Action, [Scene cuts to Tree Fort],When Wedding Bells Thaw
Finn,  [sighs] And now everything's back to normal.,When Wedding Bells Thaw
Jake,"  Well, I wouldn't say everything.",When Wedding Bells Thaw
Ice King,"  [pounding on the door] Come on, guys. Help me celebrate my un-marriage.",When Wedding Bells Thaw
Finn & Jake,  [laugh],When Wedding Bells Thaw
Episode ends,,When Wedding Bells Thaw
Princess Bubblegum,"  [to Finn and Jake] Alright, guys. Hammer all these safety signs around this dungeon hole. I've gotta jet off on my swan to take care of some royal junk.",Dungeon
Finn,"  You got it, Princess.",Dungeon
Jake,"  Whatever you want, mama.",Dungeon
Princess Bubblegum,"  Bubblegum, away!!",Dungeon
Action," [Finn nails a sign with a sledgehammer, and Jake uses his fists as hammers]",Dungeon
Jake,  Ow. Ow. Ow.,Dungeon
Finn,"  There. That's the last sign, Jake. Now no one will go down this hole, ever. Probably a lot of dangerous, awesome stuff down this hole. I better go take a look.",Dungeon
Action," [Finn jumps down the hole, and Jake fishes him out using his arm as a fishing pole and line]",Dungeon
Jake,"  Don't, dude. For you see, that's the secret entrance to the Dungeon of the Crystal Eye!",Dungeon
Finn,  Whoa.,Dungeon
Jake,"  Legend has it that the eye rests in the deepest chamber of this accursed dungeon. Man, we shouldn't even be talkin' about it, 'cause it's lunch time. [holds out picnic equipment]",Dungeon
Action," [A ""LUNCH TIME"" logo pops up. A spork goes through the word ""TIME"".]",Dungeon
Finn,  The crystal eye. I wanna meet this dungeon.,Dungeon
Jake,  Maybe after lunch.,Dungeon
Finn,"  Eh, I'll skip lunch. Just catch up with me when you are finished.",Dungeon
Jake,"  *Pfft* Yeah, right.",Dungeon
Finn,  What?,Dungeon
Jake,  Without the aid of my magnificent powers... [shapes hand into bottle opener and opens a bottle of water] ...Huh? Huh? You'd get killed down there.,Dungeon
Finn,  Hey! I can do things without you! You wanna bet I can't?,Dungeon
Jake,"  Nope. Come get your sandwich. [using Finn's sandwich as a puppet] Listen to Jake, Finn. He only wants what's best for--[Jake bites Finn's sandwich] [using sandwich puppet, muffled] Ahh! Help me! Ahh! Come put her out of her misery, dude!",Dungeon
Finn,  We are betting! I bet that I'll get that crystal eye and be back within 11 minutes. [quickly] Ready set go! [jumps down hole],Dungeon
Jake,  [sighs] I better go after him.,Dungeon
Jake [as sandwich puppet],"  No, Jake! Stay here, with me...",Dungeon
Jake,"  Oh, my... [makes out with the sandwich]",Dungeon
Action, [scene switches to inside the dungeon.],Dungeon
Finn,"  Dungeons! Chambers! Woah. [Sees bugbears everywhere] Evil creatures! [laughs as monsters chase him] Treasure chests! [treasure chest is actually a mimic monster, Finn laughs, jumps away as the creature tries to punch him, then the creature vomits gold, coins, doubloons, and rings and rubies]",Dungeon
Finn,"  Doorways! [floorboards try to close on him] Traps! [Long jumps out of trap] I'm in my elemeeeeeeeeent!! [Lands in chamber, sees a kitten's head sticking out of a black cave entrance]",Dungeon
Finn,  Aww!,Dungeon
Action, [cat head turns upside down and ominously meows],Dungeon
Finn,  [freaked out] Oh?,Dungeon
Action," [A demonic cat with a kitten for a tongue comes out, and sucks his tongue back in his mouth]",Dungeon
Finn,  Whoa! Somebody come pick up your freaky cat.,Dungeon
Demon Cat,"  Greetings, Frank the Human Boy.",Dungeon
Finn,  How did you almost know my name?!,Dungeon
Demon Cat,"  I have approximate knowledge of many things. For instance, I know that I am possibly going to slay you and munch on your eyeballs. [circles Finn]",Dungeon
Finn,"  Huh, yeah right. That sounds like idiot talk!",Dungeon
Demon Cat,"  You're trespassing on my dungeon, manling. And I am the thing... [brandishes claws] ...you should be afraid of.",Dungeon
Finn,  You can't hurt me! I'm a radical boy on a mission for the crystal eye!,Dungeon
Demon Cat,  I'm going to unzip your skin and wear you like a little coat.,Dungeon
Finn,"  Unzip this! [Does an armpit-fart, jumps back]",Dungeon
Action, [the Demon Cat leaps at him],Dungeon
Finn,"  Bleep! [Demon Cat holds him down, and fiendishly bites at him] OOF!",Dungeon
Action," [Finn punches him, the Demon Cat's eyes fill up with blood]",Dungeon
Demon Cat,"  Now, you DIE!! [Leaps at Finn, and tears up his clothes, then stops]",Dungeon
Demon Cat,  Wait a minute. [Sniffs twice] Is that dog smell?! You... you have a dog with you? I'm outta here! [Runs away],Dungeon
Finn,"  Yeah, right! Good excuse! Slaps, that cat was kicking my buns! And it might have finished my buns if it weren't for Jake's stank. Dang it, Jake! I'll get that crystal eye on my own! With my own odors. [walks by 3 different doors] Hmm, no to skeletal remains door. [Sees a door that is a monsters mouth, Finn kicks in a skeleton and a trap closes on it] No to giant monster mouth door. [sees key door] Oh! Giant key door it is!",Dungeon
Action," [Tries to open, but it's locked]",Dungeon
Finn,"  If Jake was here, he could stretch his hand into a key and open it. [shapes his hand like a key] Yeah! Key hand! [tries to open the door, but bruises his hand] Ouch! [notices a green glow coming from a hatch] Hey! What the jug is that?",Dungeon
Action, [Crawls in],Dungeon
Finn,"  Oh, sweet, the key!",Dungeon
Action, [Finn sings the Key Song],Dungeon
Action," [Reaches for key, which is inside a gelatinous green jelly cube]",Dungeon
Finn,"  Ew, jelly cube?! [Tries to get the key but almost gets sucked in] Come on! Give it to me! Don't flaunt it if you're not gonna give it up! [Screaming, falls out of the cube] I'll never get that crystal eye! No. No, I just gotta stay pumped. [starts dancing, and singing] Pump it up, pump it up! Whoo! Whoo! Shake it! Shake it! Ahh! [Falls through the floor, lands in a waterfall chamber] Steady, Finn. This place is probably more creeped out of you than you are of it. [Jumps onto the floor]",Dungeon
Bucket Knight,"  Halt! Come no further adventurer, for you see none can defeat... the Bucket Knight! [He appears to be very small]",Dungeon
Finn,"  Okay, then I won't fight you.",Dungeon
Bucket Knight,  No! You must challenge me to-- [Finn interrupts him],Dungeon
Finn,"  Hey cutie, do you know how to get to the crystal eye from here?",Dungeon
Bucket Knight,"  Yes, it's through that door over there, but-- [Finn runs past him]",Dungeon
Finn,  Thanks!,Dungeon
Bucket Knight,  Hey! You can't pass through that door with out battling me!,Dungeon
Finn,"  Yes, I can. Because I'm huge compared to you.",Dungeon
Bucket Knight,  [to himself] Just add water and... [Pours water on himself] ...exponential growth!,Dungeon
Finn,"  Aw, buckets.",Dungeon
Bucket Knight,"  Now, activate thine own powers, and we shall engage in thrilling single combat!",Dungeon
Finn,"  [nervously] Heh, thing is... I don't really... have any powers.",Dungeon
Bucket Knight,  [smiles] I see...,Dungeon
Action, [Gets chased by Bucket Knight],Dungeon
Finn,"  AAAAH!! Dang it, Jake wouldn't be running! He'd grow all big, and sock you right in the nose hole! [Bucket Knight kicks the gorund, which it's vibration sends Finn flying] Aw, nutzoids! [tries to run away, but Bucket Knight slides on the ground, causing Finn to once again, go flying] Come on! All aboard the knuckle train to fist planet! [jumps up, but Bucket Knight punches him far, bruising him really badly]",Dungeon
Finn,  Oww... I rode the knuckle train? But... I... I'm in my element.,Dungeon
Action," [Runs away and finally gets to the door, but the Bucket Knight is right behind him. Before he could hit Finn, Finn jumps through the door]",Dungeon
Finn,"  AHHHHH!!!! Ow! OW! Ow! OW! Ow! Uhh! That... sucked. [Takes a deep breath] Alright, Finn, you're in a heavy pickle here. You don't have Jake, and you're on your own. But you can still handle this. You can still get that crystal eye! [The Demon Cat is awake and crawls on a ledge an sees Finn]",Dungeon
Demon Cat,"  Hey, my dinner is back. And your dog isn't with you! That's what you said, right? Jack the Dog is not ""accompanying"" you?",Dungeon
Finn,  You mean Jake?,Dungeon
Demon Cat,"  Jake, Jack, whatever. He's not here, which means I'm going to rip your heart out. [Chases Finn]",Dungeon
Finn,"  Crud, crud, crud, crud, crud!",Dungeon
Demon Cat,"  You can't hide from me, Jim. I know almost everything, remember? I know exactly where you might be, Jim. I'm about to pounce on you.",Dungeon
Action," [Finn sits behind a rock pillar, nervous and scared]",Dungeon
Demon Cat,"  One... two... three! [jumps behind a rock] Aw, man! I thought you'd be behind this rock. Hmm... [sniffs twice] Alright. I know where you are now! And I'm about to pounce again! [Finn gets more scared] One... two... three! [jumps behind another rock] Aw, man! Well, there's only a few more places to look.",Dungeon
Finn,"  Oh, Jake... I'm such a fool. A silly, silly fool. [a hand touches his mouth] Who the heck--?!",Dungeon
Guardian Angel,"  Heeey, it's okay. Shhh, I'm your guardian angel, Finn. I'm here to save you.",Dungeon
Finn,  Re...really?,Dungeon
Guardian Angel,"  Mmm-hm. Come here, let the angel pick you up.",Dungeon
Finn,"  Okay. [Flies away with the angel, laughs] This is radical.",Dungeon
Guardian Angel,  Are you comfortable? Would you like some snacks?,Dungeon
Finn,"  I'm fine, thank you.",Dungeon
Guardian Angel,"  Here, let me clean you up, and mend your clothes. [Casts healing magic to clean up Finn and fix his clothes]",Dungeon
Finn,  Ha ha!,Dungeon
Guardian Angel,  I'm taking you to the chamber of the Crystal Eye....,Dungeon
Finn," Aww, yeah!",Dungeon
Guardian Angel,  ... where I'm going to cook you and eat your flesh.,Dungeon
Finn,  Wow... Wait! What??!,Dungeon
Guardian Angel,"  Trust in your [The ""angel"" shows her true colors as her face misshapens into a hideous form, and a raspy voice] guardian angel!",Dungeon
Finn,"  Put me down, lady!",Dungeon
Guardian Angel,  As you wish.,Dungeon
Action, [Drops Finn in a cage full of soup and ingredients],Dungeon
Finn,"  Man, everybody wants to eat me up. It's probably 'cause I'm so sweet.",Dungeon
Guardian Angel,  Now for little kid soup. [Lights a fire] The secret is a low flame over a long period.,Dungeon
Finn,"  That's Jake's secret, too. I sure hope he saves me.",Dungeon
Guardian Angel,"  [Flies away with beautiful face] I will save thee, Finn.",Dungeon
Finn,"  Lady, you are sick! Oh, Jake...",Dungeon
Jake,  What?,Dungeon
Finn,  Jake!,Dungeon
Jake,  Finn!,Dungeon
Finn,  Where were you?!,Dungeon
Jake,"  I was looking for you, knucklehead! I was so worried, that right after lunch, I plunged into the dungeon after you.",Dungeon
Jake,"  Strangest thing, though, I kept runnin' into obstacles.",Dungeon
Action, [Flashback begins],Dungeon
Reaper,  Choose your dueling weapon!,Dungeon
Jake,  Uh... I choose... sandwich! [He grabs his sandwich and fights with the reaper who simply cuts through it with a sword],Dungeon
Jake,  [voiceover] The challenges were impossible for me.,Dungeon
Action, [Goblin King challenges Jake to spitting their spit the farthest and laughs when Jake throws a pathetic spit],Dungeon
Action," [A monster makes Jake chase a laser pointer, which leads Jake to bump into a wall]",Dungeon
Jake,"  [voiceover] But you would have blown right through. I kept thinking to myself, ""What would Finn do?"" Just...eh, frustrating. Know what I mean?",Dungeon
Finn,"  Yeah... I think I do. [Both chuckle, there's a moment of silence]",Dungeon
Action," [A ""NEWFOUND RESPECT"" logo pops up as they awkwardly handshake]",Dungeon
Finn,  Now let's find a way out of this cage.,Dungeon
Jake,  I'll get us out with Key Hand! [forms a Key Hand],Dungeon
Finn,  I really don't see any key holes on this cage.,Dungeon
Jake,"  Not a problem, man. Lock Hand!",Dungeon
Finn,"  [laughs] I'll get us out of here, with carrot hand!",Dungeon
Action," [takes a carrot and lights it on fire, and gives it to Jake. Jake sets the cage's rope on fire, and it drops on the Guardian Angel, killing her]",Dungeon
Jake,"  Alright, man. Let's go! We've still got a couple minutes left to steal that crystal eye and win your bet!",Dungeon
